Code	Route	Group	Footer	Navbar	btn	lnk	crd	tab	crm	rdr	mdl
M01	/	MARKETING	yes	yes	A02 A04	M08	R01 /course/[slug]				
R01	/@[handle]	RESOURCE	yes	yes			/creator/[handle] R03			A01 R01	
M02	/404	MARKETING	NO	NO	/discover/courses	M01				M02	
X01	/admin	ADMIN	yes	yes		X16 X05 X07 X14					
X02	/admin/analytics	ADMIN	yes	yes							
X03	/admin/announcements	ADMIN	yes	yes							
X04	/admin/certificates	ADMIN	yes	yes	M88						
X05	/admin/courses	ADMIN	yes	yes							
X06	/admin/creator-applications	ADMIN	yes	yes	P03						
X07	/admin/enrollments	ADMIN	yes	yes	P03		R01 /course/[slug]				
X08	/admin/moderation	ADMIN	yes	yes							
X09	/admin/moderators	ADMIN	yes	yes			R01				
X10	/admin/payouts	ADMIN	yes	yes							
X11	/admin/promotion-settings	ADMIN	yes	yes							
X12	/admin/recordings	ADMIN	yes	yes							
X13	/admin/sessions	ADMIN	yes	yes	P03					R02	
X14	/admin/teachers	ADMIN	yes	yes	P03	X07 X13	/creator/[handle]				
X15	/admin/topics	ADMIN	yes	yes							
X16	/admin/users	ADMIN	yes	yes	P03						
M03	/become-a-teacher	MARKETING	NO	NO	A01	/faq P01					
M04	/communities	MARKETING	yes	yes	A02	M01					
Y01	/community/[slug]/[...tab]	COMMUNITY	yes	yes	P03	M01	/creator/[handle] /course/[slug] R01	K03		M04 /community/[slug] A01	
C01	/course/[slug]/[...tab]	COURSE	yes	yes		P01 M01 /course/[slug]/modules /course/[slug]/benefits		/course/[slug]/learn C02	R02	/course/[slug] A04	
C02	/course/[slug]/book	COURSE	yes	yes	P03 R02	/learning		/course/[slug]/learn C02		P01 /course/[slug] A01	
C03	/course/[slug]/success	COURSE	yes	yes		P01 /course/[slug]/modules /course/[slug]/benefits	/course/[slug]	C02 /course/[slug]/feed			
P01	/courses	PERSONAL	yes	yes	P03 A02	M01	/creator/[handle] /course/[slug]	/course/[slug]/learn C02 /creating/studio			
K01	/creating/[...tab]	CREATING	yes	yes	P03	M01 /profile /teaching M08 P02	/course/[slug] R01	/creating/communities /creating/analytics /settings/payments		/creating /creating/studio A01 K03	
K02	/creating/apply	CREATING	yes	yes		/creating				A01	
K03	/creating/communities/[slug]	CREATING	yes	yes		M01 /creating				/creating/communities A01 /creating/studio K03	
M05	/dev/primitives	MARKETING	yes	yes		M01 /course/intro-to-claude-code	R01 /course/[slug]		M05 M06 M07		
M06	/dev/saved	MARKETING	yes	yes		M01			M05 M06 M07		
M07	/dev/todo	MARKETING	yes	yes		M01			M05 M06 M07		
P02	/feed	PERSONAL	yes	yes	A02	M08	R01 /course/[slug]			M01	
M08	/feeds	MARKETING	yes	yes	/discover/courses A02	M01 M04 P02					
M09	/learning/[...tab]	MARKETING	yes	yes	/discover/courses R02 M88 P03	M01 /learning/sessions M08 P02	/course/[slug]	/course/[slug]/learn C02		/learning	
A01	/login	AUTH	yes	yes						M01	
M10	/members	MARKETING	yes	yes		M01	R01				
P03	/messages	PERSONAL	yes	yes		M01	R01			A01	
M11	/mod	MARKETING	yes	yes		M01					
P04	/notifications	PERSONAL	yes	yes		M01					
M12	/old	MARKETING	yes	yes	P03 A02	/discover P01					
M13	/old/about	MARKETING	NO	NO		M01					
M14	/old/blog	MARKETING	NO	NO		M01					
M15	/old/careers	MARKETING	NO	NO		M01					
M16	/old/community	MARKETING	yes	yes	/discover/communities	M08	/community/[slug]				
M17	/old/community/[slug]	MARKETING	yes	yes	P03		/creator/[handle] /community/[slug] R01 /course/[slug]	K03	/community /discover	/discover/communities M02	
M18	/old/community/[slug]/courses	MARKETING	yes	yes	P03		/creator/[handle] R01 /course/[slug]		/community /discover	/discover/communities /community/[slug] M02	
M19	/old/community/[slug]/members	MARKETING	yes	yes	P03		/creator/[handle] R01 /course/[slug]		/community /discover	/discover/communities M02	
M20	/old/community/[slug]/resources	MARKETING	yes	yes	P03		/creator/[handle] R01 /course/[slug]		/community /discover	/discover/communities M02	
M21	/old/contact	MARKETING	NO	NO		M01					
M22	/old/cookies	MARKETING	NO	NO		M01					
M23	/old/course/[slug]	MARKETING	yes	yes	R02 P03	/creating	/course/[slug] /creator/[handle] R03	/course/[slug]/learn	/discover /discover/courses /community/[slug] /community/[slug]/courses /teaching T02 P01	M02 A04	
M24	/old/course/[slug]/[tab]	MARKETING	yes	yes	R02 P03	/creating T02	/creator/[handle] R03	/course/[slug]/learn	/discover /discover/courses /community/[slug] /community/[slug]/courses P01	M02 /course/[slug] A04	
M25	/old/course/[slug]/book	MARKETING	yes	yes	P03 R02	/learning		/course/[slug]/learn C02	P01 /discover	A01 /course/[slug] /discover/courses	
M26	/old/course/[slug]/feed	MARKETING	yes	yes	R02 P03	/creating T02	/course/[slug] /creator/[handle] R03	/course/[slug]/learn	/discover /discover/courses /community/[slug] /community/[slug]/courses P01	M02 A04	
M27	/old/course/[slug]/learn	MARKETING	yes	yes	R02 P03	/creating T02	/course/[slug] /creator/[handle] R03	/course/[slug]/learn	/discover /discover/courses /community/[slug] /community/[slug]/courses P01	M02 A04	
M28	/old/course/[slug]/resources	MARKETING	yes	yes	R02 P03	/creating T02	/course/[slug] /creator/[handle] R03	/course/[slug]/learn	/discover /discover/courses /community/[slug] /community/[slug]/courses P01	M02 A04	
M29	/old/course/[slug]/sessions	MARKETING	yes	yes	R02 P03	/creating T02	/course/[slug] /creator/[handle] R03	/course/[slug]/learn	/discover /discover/courses /community/[slug] /community/[slug]/courses P01	M02 A04	
M30	/old/course/[slug]/success	MARKETING	yes	yes		/learning		/course/[slug]/learn	P01 /course/[slug] /discover		
M31	/old/course/[slug]/teachers	MARKETING	yes	yes	R02 P03	/creating T02	/course/[slug] /creator/[handle] R03	/course/[slug]/learn	/discover /discover/courses /community/[slug] /community/[slug]/courses P01	M02 A04	
M32	/old/courses	MARKETING	yes	yes	/discover/courses R02		/course/[slug] /creator/[handle]	/course/[slug]/sessions /course/[slug]/learn C02			
M33	/old/creating	MARKETING	yes	yes	P03	/profile /teaching M08 P02	/course/[slug] R01	/creating/studio /creating/communities /creating/analytics			
M34	/old/creating/analytics	MARKETING	yes	yes			/course/[slug]	/creating/studio	/creating /discover		
M35	/old/creating/communities	MARKETING	yes	yes					/creating /discover	K03	
M36	/old/creating/communities/[slug]	MARKETING	yes	yes					/creating /discover	/creating/communities A01 /creating/studio K03	
M37	/old/creating/earnings	MARKETING	yes	yes			/course/[slug]	/settings/payments	/creating /discover		
M38	/old/creating/studio	MARKETING	yes	yes			/course/[slug]	/creating/communities	/creating /discover	/creating/studio A01	
M39	/old/creator/[handle]	MARKETING	yes	yes	P03	M10 M01 P01 /creating	/creator/[handle]	/settings/profile			
M40	/old/dashboard	MARKETING	yes	yes	A02	/learning T02 M08 P02	R01	/teaching/earnings /creating/earnings /creating/studio /teaching/students		/teaching/availability	
M41	/old/discover	MARKETING	yes	yes			/community/[slug]				
M42	/old/discover/communities	MARKETING	yes	yes	A02		/community/[slug]		/discover		
M43	/old/discover/community/[slug]	MARKETING	yes	yes	P03		/creator/[handle] /discover/community/[slug] R01 /course/[slug]		/discover	/discover/communities M02	
M44	/old/discover/community/[slug]/[...tab]	MARKETING	yes	yes	P03		/creator/[handle] R01 /course/[slug]		/discover	/discover/communities /discover/community/[slug] M02	
M45	/old/discover/course/[slug]	MARKETING	yes	yes	P03	/creating T02	R01 /creator/[handle]	/creating/studio	/discover /discover/courses	M02 A01	
M46	/old/discover/course/[slug]/[...tab]	MARKETING	yes	yes	P03	/creating T02	R01 /creator/[handle]	/creating/studio	/discover /discover/courses	/discover/course/[slug] M02 A01	
M47	/old/discover/courses	MARKETING	yes	yes	/discover/courses A02		/creator/[handle]		/discover		
M48	/old/discover/creators	MARKETING	NO	NO						/discover/members	
M49	/old/discover/feeds	MARKETING	yes	yes	/discover/courses A02	M04 P02			/discover		
M50	/old/discover/leaderboard	MARKETING	yes	yes			R03 R01		/discover		
M51	/old/discover/members	MARKETING	yes	yes			R01		/discover		
M52	/old/discover/students	MARKETING	NO	NO						/discover/members	
M53	/old/discover/teachers	MARKETING	NO	NO						/discover/members	
M54	/old/faq	MARKETING	NO	NO		M01					
M55	/old/feed	MARKETING	yes	yes	A02	M08	R01 /course/[slug]			A01	
M56	/old/feeds	MARKETING	yes	yes	/discover/courses	P02 M04				A01	
M57	/old/for-creators	MARKETING	NO	NO		M01					
M58	/old/help	MARKETING	NO	NO		M01					
M59	/old/how-it-works	MARKETING	NO	NO		M01					
M60	/old/learning	MARKETING	yes	yes	/discover/courses R02 M88 P03	/learning/sessions M08 P02	/course/[slug]	/course/[slug]/learn C02			
M61	/old/learning/sessions	MARKETING	yes	yes	R02			/course/[slug]/learn C02	/learning /discover		
M62	/old/login	MARKETING	yes	yes						/dashboard	
M63	/old/messages	MARKETING	yes	yes			R01			A01	
M64	/old/notifications	MARKETING	yes	yes							
M65	/old/onboarding	MARKETING	yes	yes						M01	
M66	/old/pricing	MARKETING	NO	NO		M01					
M67	/old/privacy	MARKETING	NO	NO		M01					
M68	/old/profile	MARKETING	NO	NO						R01	
M69	/old/session/[id]	MARKETING	yes	yes	P03			/course/[slug]/sessions /course/[slug]/learn	/discover	A01 M02 C02	
M70	/old/settings	MARKETING	yes	yes		/settings/interests		/settings/profile /settings/payments /settings/notifications /settings/security			
M71	/old/settings/interests	MARKETING	yes	yes					/settings /discover		
M72	/old/settings/notifications	MARKETING	yes	yes					/settings /discover		
M73	/old/settings/payments	MARKETING	yes	yes					/settings /discover		
M74	/old/settings/profile	MARKETING	yes	yes					/settings /discover		
M75	/old/settings/security	MARKETING	yes	yes		A03			/settings /discover	M01	
M76	/old/signup	MARKETING	yes	yes						/dashboard	
M77	/old/stories	MARKETING	NO	NO		M01					
M78	/old/teaching	MARKETING	yes	yes	P03 R02	T02 M08 P02	R01	/teaching/students /teaching/sessions /teaching/analytics		/teaching/availability	
M79	/old/teaching/analytics	MARKETING	yes	yes					/teaching /discover		
M80	/old/teaching/availability	MARKETING	yes	yes					/teaching /discover		
M81	/old/teaching/courses/[courseId]	MARKETING	yes	yes			/course/[slug] R01 /creator/[handle]		/discover	A01 /teaching	
M82	/old/teaching/earnings	MARKETING	yes	yes			/course/[slug]	/settings/payments	/teaching /discover		
M83	/old/teaching/sessions	MARKETING	yes	yes	P03 R02	T02			/teaching /discover		
M84	/old/teaching/students	MARKETING	yes	yes	P03 R02	T02		C02	/teaching /discover		
M85	/old/terms	MARKETING	NO	NO		M01					
M86	/old/testimonials	MARKETING	NO	NO		M01					
A02	/onboarding	AUTH	yes	yes						M01	
M87	/profile/[...tab]	MARKETING	yes	yes		/help A03	R01			M01 /profile	
A03	/reset-password	AUTH	yes	yes	A01						
R02	/session/[id]	RESOURCE	yes	yes	P03	P01	/course/[slug]	/course/[slug]/sessions /course/[slug]/learn		A01 M02 C02	
A04	/signup	AUTH	yes	yes						M01	
R03	/teacher/[handle]	RESOURCE	yes	yes	P03	M10 M01 /teaching	/course/[slug]	/settings/profile /teaching/availability C02			
T01	/teaching/[...tab]	TEACHING	yes	yes	P03 R02	M01 T02 M08 P02	R01 /course/[slug]	/teaching/students /teaching/sessions /teaching/analytics /settings/payments C02		/teaching /teaching/availability	
T02	/teaching/courses/[courseId]	TEACHING	yes	yes		M01	/course/[slug] R01 /creator/[handle]			/teaching A01	
M88	/verify/[id]	MARKETING	NO	NO		M01	/course/[slug] R01				
M89	/visitor	MARKETING	yes	yes	A01 A04	M01				/profile	
N01	[AppNavbar]	CHROME	—	—		M01 P01 /community M08 P03 P04 /learning /teaching /creating K02 X01 A02					
N02	[DiscoverSlidePanel]	CHROME	—	—		/discover/communities /discover/courses /discover/teachers /discover/students /discover/creators /discover/leaderboard					
N03	[UserAccountDropdown]	CHROME	—	—		R01 /settings A02 /help					
N04	[AuthModals]	CHROME	—	—							A01 A04
N05	[AdminNavbar]	CHROME	—	—		X01 X16 X05 X15 X07 X14 X13 X10 X04 X06 X08 X09 X02 M01					
N06	[Footer]	CHROME	—	—		/help /privacy /terms /cookies P01 /creators /teachers /how-it-works /pricing M03 /for-creators /stories /testimonials /about /blog /careers /contact /faq M01					
